symbol,entry_timing,sl_atr,tp_ladder,ratios,be_after_tp1,blofin_n,blofin_net,blofin_pf,blofin_dd,blofin_wr,blofin_oos_net,blofin_oos_pf,lighter_n,lighter_net,lighter_pf,lighter_dd,lighter_wr,lighter_oos_net,lighter_oos_pf,tp1_rate,tp3_rate
ZEC-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",True,396,-4120.68,0.499,-4073.24,0.4596,-1430.2,0.473,396,-556.89,0.915,-1020.76,0.5556,-359.34,0.838,0.556,0.157
ZEC-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",True,203,-2517.47,0.445,-2775.92,0.4384,-971.77,0.4,203,-690.51,0.811,-1164.9,0.5369,-422.72,0.683,0.537,0.177
ZEC-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",False,370,-4179.54,0.518,-4124.77,0.3892,-1466.7,0.485,370,-849.49,0.872,-1229.85,0.3973,-467.87,0.791,0.538,0.254
ZEC-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",False,196,-2760.88,0.434,-2937.69,0.3724,-957.26,0.429,196,-997.02,0.736,-1389.76,0.3724,-426.21,0.682,0.531,0.25
ZEC-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",True,396,-4040.26,0.521,-4001.97,0.3813,-1412.6,0.491,396,-476.4,0.927,-1024.41,0.5556,-341.76,0.846,0.556,0.157
ZEC-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",True,203,-2467.85,0.469,-2788.17,0.3596,-939.5,0.432,203,-640.89,0.824,-1177.11,0.5369,-390.41,0.707,0.537,0.177
ZEC-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",False,370,-4095.86,0.556,-4061.82,0.373,-1465.72,0.517,370,-765.68,0.894,-1227.48,0.3973,-466.9,0.807,0.538,0.254
ZEC-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",False,196,-2789.58,0.465,-3002.13,0.352,-933.05,0.467,196,-1025.77,0.75,-1454.21,0.3724,-401.99,0.717,0.531,0.25
ZEC-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",True,396,-4170.95,0.49,-4117.78,0.5278,-1441.2,0.467,396,-607.19,0.908,-1022.72,0.5556,-370.32,0.833,0.556,0.157
ZEC-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",True,203,-2548.49,0.434,-2768.27,0.5074,-991.95,0.385,203,-721.53,0.802,-1157.27,0.5369,-442.92,0.668,0.537,0.177
ZEC-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",False,370,-4231.84,0.492,-4174.28,0.3973,-1467.31,0.464,370,-901.87,0.858,-1231.33,0.4459,-468.48,0.78,0.538,0.254
ZEC-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",False,196,-2742.94,0.413,-2897.41,0.3724,-972.39,0.402,196,-979.05,0.726,-1349.47,0.4388,-441.36,0.659,0.531,0.25
ZEC-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",True,421,-4445.82,0.479,-4388.26,0.5629,-1715.7,0.426,421,-657.22,0.904,-933.66,0.5629,-572.74,0.766,0.563,0.021
ZEC-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",True,211,-2607.46,0.426,-2715.2,0.5498,-1029.39,0.364,211,-708.5,0.808,-1057.2,0.5498,-453.37,0.661,0.55,0.009
ZEC-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",False,421,-4445.82,0.479,-4388.26,0.5629,-1715.7,0.426,421,-657.22,0.904,-933.66,0.5629,-572.74,0.766,0.563,0.021
ZEC-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",False,211,-2607.46,0.426,-2715.2,0.5498,-1029.39,0.364,211,-708.5,0.808,-1057.2,0.5498,-453.37,0.661,0.55,0.009
ZEC-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",True,409,-3960.75,0.533,-3903.18,0.4621,-1456.97,0.491,409,-280.09,0.959,-682.47,0.5575,-350.19,0.85,0.557,0.032
ZEC-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",True,209,-2496.86,0.456,-2722.03,0.4498,-924.63,0.415,209,-615.89,0.833,-1066.08,0.5455,-357.59,0.726,0.545,0.01
ZEC-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",False,402,-4505.59,0.518,-4448.03,0.398,-1636.08,0.479,402,-887.75,0.876,-1046.1,0.398,-547.29,0.778,0.55,0.037
ZEC-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",False,207,-2654.6,0.47,-2805.58,0.3913,-879.58,0.478,207,-791.85,0.796,-1167.85,0.3913,-312.6,0.769,0.546,0.019
ZEC-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",True,389,-4223.2,0.545,-4165.64,0.4627,-1443.69,0.528,389,-722.17,0.904,-1089.7,0.4884,-390.89,0.844,0.488,0.175
ZEC-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",True,202,-2818.13,0.46,-2930.05,0.4307,-842.24,0.496,202,-1000.36,0.764,-1323.25,0.4653,-293.23,0.788,0.465,0.178
ZEC-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",False,370,-3983.25,0.578,-3962.97,0.3459,-1378.24,0.551,370,-653.22,0.91,-1246.93,0.3459,-379.47,0.843,0.478,0.254
ZEC-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",False,196,-2854.35,0.473,-2966.27,0.3214,-844.69,0.507,196,-1090.58,0.741,-1399.15,0.3214,-313.64,0.77,0.459,0.25
ZEC-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",True,389,-4183.85,0.555,-4126.28,0.3676,-1432.99,0.534,389,-682.74,0.909,-1169.05,0.4884,-380.16,0.849,0.488,0.175
ZEC-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",True,202,-2799.21,0.472,-2970.22,0.3317,-825.05,0.512,202,-981.44,0.769,-1368.26,0.4653,-275.99,0.8,0.465,0.178
ZEC-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",False,370,-3886.15,0.613,-3925.37,0.3459,-1372.28,0.58,370,-556.02,0.929,-1310.9,0.3459,-373.48,0.857,0.478,0.254
ZEC-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",False,196,-2835.97,0.505,-2988.08,0.3214,-839.26,0.538,196,-1072.22,0.763,-1440.16,0.3214,-308.17,0.79,0.459,0.25
ZEC-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.6, 0.2, 0.2)",True,389,-4247.8,0.542,-4190.23,0.4859,-1450.37,0.526,389,-746.81,0.9,-1073.56,0.4884,-397.59,0.842,0.488,0.175
ZEC-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.6, 0.2, 0.2)",True,202,-2829.95,0.457,-2930.73,0.4604,-852.99,0.489,202,-1012.19,0.761,-1295.11,0.4653,-304.0,0.78,0.465,0.178
ZEC-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.6, 0.2, 0.2)",False,370,-4043.93,0.555,-4005.75,0.3514,-1381.96,0.531,370,-713.97,0.9,-1207.4,0.4784,-383.21,0.839,0.478,0.254
ZEC-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.6, 0.2, 0.2)",False,196,-2865.83,0.451,-2966.61,0.3316,-848.08,0.485,196,-1102.06,0.735,-1373.53,0.4592,-317.07,0.764,0.459,0.25
ZEC-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(1.0, 0.0, 0.0)",True,411,-4541.26,0.535,-4499.68,0.4915,-1571.87,0.514,411,-842.52,0.893,-947.96,0.4915,-456.15,0.828,0.491,0.022
ZEC-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(1.0, 0.0, 0.0)",True,209,-2765.85,0.475,-2822.09,0.4785,-783.9,0.52,209,-885.07,0.793,-1075.06,0.4785,-216.96,0.84,0.478,0.01
ZEC-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(1.0, 0.0, 0.0)",False,411,-4541.26,0.535,-4499.68,0.4915,-1571.87,0.514,411,-842.52,0.893,-947.96,0.4915,-456.15,0.828,0.491,0.022
ZEC-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(1.0, 0.0, 0.0)",False,209,-2765.85,0.475,-2822.09,0.4785,-783.9,0.52,209,-885.07,0.793,-1075.06,0.4785,-216.96,0.84,0.478,0.01
ZEC-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",True,398,-4121.74,0.569,-4064.18,0.4598,-1491.13,0.533,398,-539.96,0.93,-918.37,0.4849,-411.35,0.843,0.485,0.053
ZEC-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",True,207,-2720.08,0.484,-2813.44,0.4396,-763.61,0.545,207,-857.3,0.8,-1174.32,0.4734,-196.58,0.858,0.473,0.029
ZEC-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",False,390,-4145.86,0.588,-4128.13,0.3436,-1366.16,0.578,390,-636.05,0.918,-1251.82,0.3436,-313.37,0.877,0.479,0.062
ZEC-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",False,205,-2620.82,0.526,-2714.18,0.3415,-723.37,0.58,205,-776.19,0.82,-1079.49,0.3415,-165.34,0.879,0.473,0.044
